title~views~since_upload~link
XXXTENTACION - Snow (Official Audio)~740,085~1 month ago 1 minute, 51 seconds~https://www.youtube.com/watch?v=3DnKEv0f0NdYc
XXXTENTACION - Manikin (Official Audio)~379,812~1 month ago 3 minutes, 3 seconds~https://www.youtube.com/watch?v=3DQeZUmuirlqM
XXXTENTACION - ILuvMyCliqueLikeKanyeWest (Official Audio)~254,056~1 month ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3D1skhhWnxZx4
#THEHELPINGHANDCHALLENGE~42,097,457~5 years ago 11 minutes, 26 seconds~https://www.youtube.com/watch?v=3DK3WWXyCtI7Y
THIS VIDEO IS PROBABLY GOING TO GET DEMONOTIZED!!!~14,198,794~5 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DEdOix4Yv0mo
XXXTENTACION - Look At Me! (Official Video)~99,484,045~6 years ago 5 minutes, 27 seconds~https://www.youtube.com/watch?v=3Dqku2WZ7aRYw
XXXTENTACION - The Explanation (Audio)~16,780,675~6 years ago 52 seconds~https://www.youtube.com/watch?v=3D0m68rsj48X0
XXXTENTACION - Jocelyn Flores (Audio)~623,054,482~6 years ago 2 minutes, 1 second~https://www.youtube.com/watch?v=3DFAucVNRx_mU
XXXTENTACION - Depression &amp; Obsession (Audio)~58,165,361~6 years ago 2 minutes, 26 seconds~https://www.youtube.com/watch?v=3Dyas2vpTPWWY
XXXTENTACION - Revenge (Audio)~144,420,001~6 years ago 2 minutes, 1 second~https://www.youtube.com/watch?v=3DCD_tD26E7k0
XXXTENTACION - Everybody Dies In Their Nightmares (Audio)~352,376,057~6 years ago 1 minute, 37 seconds~https://www.youtube.com/watch?v=3D7JGDWKJfgxQ
XXXTENTACION - Save Me (Audio)~146,551,980~6 years ago 2 minutes, 45 seconds~https://www.youtube.com/watch?v=3D-8xdDaRFdwc
XXXTENTACION - Dead Inside (Interlude) (Audio)~24,312,899~6 years ago 1 minute, 28 seconds~https://www.youtube.com/watch?v=3Dn83f7_aTzgA
XXXTENTACION - Carry On (Audio)~114,622,732~6 years ago 2 minutes, 11 seconds~https://www.youtube.com/watch?v=3DEhTH8OIPoY4
XXXTENTACION - Orlando (Audio)~41,188,412~6 years ago 2 minutes, 45 seconds~https://www.youtube.com/watch?v=3DcnNfYsfyiMc
XXXTENTACION - Ayala (Outro) (Audio)~21,648,234~6 years ago 1 minute, 41 seconds~https://www.youtube.com/watch?v=3DKbxlSQVWbDw
XXXTENTACION - Fuck Love (Audio) (feat. Trippie Redd)~390,564,281~6 years ago 2 minutes, 28 seconds~https://www.youtube.com/watch?v=3DJcWOSgImiRw
XXXTENTACION - Look At Me! (Audio)~598,663,755~6 years ago 2 minutes, 8 seconds~https://www.youtube.com/watch?v=3DwJGcwEv7838
XXXTENTACION - Revenge (Audio)~8,303,968~6 years ago 2 minutes, 1 second~https://www.youtube.com/watch?v=3DcWC3zWVWZiw
XXXTENTACION - I Don't Wanna Do This Anymore (Audio)~19,355,532~6 years ago 1 minute, 29 seconds~https://www.youtube.com/watch?v=3DUZfsXqkw1jw
XXXTENTACION - King (Audio)~17,606,344~6 years ago 1 minute, 54 seconds~https://www.youtube.com/watch?v=3DmHDf-kelWG4
XXXTENTACION - Slipknot (Audio) (feat. Kin$oul &amp; Killstation)~12,326,670~6 years ago 3 minutes, 31 seconds~https://www.youtube.com/watch?v=3Do4912p_-sPM
XXXTENTACION - YuNg BrAtZ (Audio)~38,221,224~6 years ago 1 minute, 43 seconds~https://www.youtube.com/watch?v=3D1TFZl8oz6Es
XXXTENTACION - RIP Roach (Audio) (feat. $ki Mask The Slump God)~32,249,380~6 years ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3DaFOxVm3Z9x8
XXXTENTACION - What in XXXTarnation (Audio) (feat. Ski Mask the Slump God)~22,653,647~6 years ago 2 minutes, 46 seconds~https://www.youtube.com/watch?v=3D7DjmTTshzMc
XXXTENTACION - Looking for a Star (Audio)~16,189,556~6 years ago 2 minutes, 19 seconds~https://www.youtube.com/watch?v=3DKB47nkHLMow
xxxtentacion - RARE pt 2~7,164,705~8 years ago 2 minutes, 34 seconds~https://www.youtube.com/watch?v=3DdR5IoJgM0dM
xxxtentacion - Teeth(interlude)~14,459,281~8 years ago 2 minutes, 29 seconds~https://www.youtube.com/watch?v=3DQgGuFZjFD6Y
xxxtentacion - skin~6,713,961~8 years ago 2 minutes, 20 seconds~https://www.youtube.com/watch?v=3DATayjnMV-24
xxxtentacion feat &quot;Ski Mask The Slump God&quot; - FUXK Prod Willie G~5,934,725~8 years ago 2 minutes, 46 seconds~https://www.youtube.com/watch?v=3DGHYfuuy5F4k
