title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2023 =F0=9F=90=BA Driving Lessons =F0=9F=9A=95  30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~1,387,765~0~4~121~https://www.youtube.com/watch?v=3DP_dnLnAZImw
NEW EPISODE =F0=9F=91=8B See You Later =F0=9F=98=AD (Episode 52) =F0=9F=8D=93 Masha and the Bear 2023~6,635,755~0~5~151~https://www.youtube.com/watch?v=3Dg4MRFsHgk3s
Masha and the Bear 2023 =F0=9F=91=8B See You Later =F0=9F=98=AD (Trailer) Coming on June 16! =F0=9F=8E=AC~536,197~0~5~151~https://www.youtube.com/watch?v=3Dy1Z46IlWVcM
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A4=A4 Picnic =F0=9F=A5=92=F0=9F=90=BA (Episode 31) =F0=9F=94=94~710,510~0~5~151~https://www.youtube.com/watch?v=3Dy5ew7kX8B2c
Masha and the Bear 2023 =F0=9F=90=BB By your side =F0=9F=AB=82=F0=9F=92=95 Best episodes cartoon collection =F0=9F=8E=AC~1,169,364~0~5~151~https://www.youtube.com/watch?v=3DiO8EW9dnuWU
Masha and the Bear 2023 =F0=9F=94=AC Beyond the Microscope =F0=9F=A7=91=E2=80=8D=F0=9F=94=AC=F0=9F=A7=AA Best episodes cartoon collection =F0=9F=8E=AC~8,175,041~0~5~151~https://www.youtube.com/watch?v=3Du8xdzeuV_Jk
Masha and the Bear 2023 =F0=9F=94=8E Treasure hunt =F0=9F=95=B5=EF=B8=8F Best episodes cartoon collection =F0=9F=8E=AC~963,446~0~5~151~https://www.youtube.com/watch?v=3DP59fR3SeKm4
Masha and the Bear=F0=9F=91=BBMasha's Spooky Stories=F0=9F=A7=8DA Terrible Tale About A Cow Herder On A Stump=F0=9F=AA=B5(Episode 16)~1,592,849~0~5~151~https://www.youtube.com/watch?v=3D-PN84TP6VWM
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=8D=9F=F0=9F=8D=94 Fast food and healthy food =F0=9F=A5=92=F0=9F=8D=85 (Episode 24) =F0=9F=94=94~1,160,983~0~5~151~https://www.youtube.com/watch?v=3DFVrbDxkZXZk
Masha and the Bear 2023 =E2=98=94 Worm weather =F0=9F=8C=A7=EF=B8=8F=F0=9F=AA=B1 Best episodes cartoon collection =F0=9F=8E=AC~45,782,974~0~5~151~https://www.youtube.com/watch?v=3DvtG1jwJRGzU
