title~views~uptime_y~uptime_m~uptime_d~link
Nastya and Dad visit interesting places together~36,077,303~1~13~398~https://www.youtube.com/watch?v=3DaQZiugkSQWU
Nastya is preparing for a hurricane - safety rules for kids~71,138,495~1~13~398~https://www.youtube.com/watch?v=3DwkkM0g0iGUc
Nastya and Evelyn take care of a teacher~10,696,973~1~13~398~https://www.youtube.com/watch?v=3DfdoSUxIYoso
Nastya and kind stories about Halloween and Thanksgiving~62,371,031~1~13~398~https://www.youtube.com/watch?v=3D-oLeq88FPi8
Nastya and Evelyne shoot a video for school about dolls~9,522,392~1~13~398~https://www.youtube.com/watch?v=3DRTSUuITC2uY
Nastya VS daddy in Healthy Food Challenge~14,136,969~1~13~398~https://www.youtube.com/watch?v=3DUI_14xK9Dsk
Nastya and a science lesson at school~7,104,785~1~13~398~https://www.youtube.com/watch?v=3DN6RGSs5SZhQ
Nastya takes care of her puppy named Like~8,565,061~1~13~398~https://www.youtube.com/watch?v=3D1AVg0Mf4EYk
Nastya and stories about elementary school and her classmates~48,810,798~1~13~398~https://www.youtube.com/watch?v=3DXIVYWWtrDRY
Nastya reads books and uses the Internet to get new information~21,061,764~1~13~398~https://www.youtube.com/watch?v=3DnuRxbLo6SpQ
Nastya is learning why children need to go to school~8,739,469~1~13~398~https://www.youtube.com/watch?v=3DA2LuXWNpQoA
Nastya shares the secrets of how to become a successful blogger~7,584,872~1~13~398~https://www.youtube.com/watch?v=3DgbHfhozPEi8
Nastya learns how important it is for children to wear braces~15,822,840~1~13~398~https://www.youtube.com/watch?v=3DsT1XiAPsG-I
Nastya does good deeds like a superhero~9,317,552~1~13~398~https://www.youtube.com/watch?v=3DE_neo6vOX2w
Nastya and the most interesting moments from the summer vacation~19,205,069~1~13~398~https://www.youtube.com/watch?v=3DviQmi-x87o8
Nastya and her back to school in the third grade~5,461,191~1~13~398~https://www.youtube.com/watch?v=3D-p9UG8P23Ms
Nastya and a family trip to London with dad~17,319,930~1~13~398~https://www.youtube.com/watch?v=3DhGvd4q5yiLo
Nastya shows how to entertain each other with her dad~37,605,258~1~13~398~https://www.youtube.com/watch?v=3DKIOBf6k_cB0
Nastya learns to say the magic word Please and receives a gift~3,984,010~1~13~398~https://www.youtube.com/watch?v=3D53kM107b-Jc
Nastya kids stories and summer rules~67,946,015~1~13~398~https://www.youtube.com/watch?v=3DwXH2hgLbcCE
Nastya and dad Family fun time in the Land of Legends park~11,193,468~1~13~398~https://www.youtube.com/watch?v=3DDzR8Naajmz0
Nastya and kids outdoor activities in Turkey~53,912,301~1~13~398~https://www.youtube.com/watch?v=3D0a3wyei7CpA
