title~views~uptime_y~uptime_m~uptime_d~link
EL JUEGO MAS VIOLENTO DE VR | Gorn~17,678,618~5~61~1855~https://www.youtube.com/watch?v=3DgGVIuSDoz7Y
THE DAMNED WORLD OF PACMAN~8,590,667~5~61~1855~https://www.youtube.com/watch?v=3DHvkq5eYvRzk
THE MEMES HUNTERS | Far Cry 5 (Funny Moments)~28,141,705~5~61~1855~https://www.youtube.com/watch?v=3DSwdFJXgNai0
HOW TO BE A FAIL IN LIFE | Rubius Moments # 2~8,962,402~5~61~1855~https://www.youtube.com/watch?v=3D_rSJt2J-HT0
DRUNK PEOPLE FIGHTING IN VIRTUAL REALITY~33,340,339~5~61~1855~https://www.youtube.com/watch?v=3DGjpZ6itUD6U
HOW WELL I KNOW ELRUBIUS? (Internet quiz)~18,306,878~5~61~1855~https://www.youtube.com/watch?v=3DOS5pMtdwRg4
THE TRUTH OF RUBIUS~25,128,563~5~61~1855~https://www.youtube.com/watch?v=3DN0Z1NQL09cc
MY FIRST MAGISTRAL VICTORY~17,804,587~5~61~1855~https://www.youtube.com/watch?v=3DULX1mtbHSBE
ME HAGO PASAR POR ESTATUA Y PASA ESTO | Fortnite~25,038,871~5~61~1855~https://www.youtube.com/watch?v=3DfQkos0_NwV0
=F0=9F=92=80=F0=9F=92=80=F0=9F=92=80 TRAP ADVENTURE 2 =F0=9F=92=80=F0=9F=92=80=F0=9F=92=80~17,404,105~5~61~1855~https://www.youtube.com/watch?v=3DC-ANqpbthEw
PUBG IN 1 MINUTE~23,103,968~5~61~1855~https://www.youtube.com/watch?v=3D3VaDOgM_tgw
THE MEME DISCO (VRChat)~14,318,595~5~61~1855~https://www.youtube.com/watch?v=3DRCRP3PQ4-Xk
Snowy day with Rubius~15,424,398~5~61~1855~https://www.youtube.com/watch?v=3Df0P-4Z4Joi4
UNBOXING OF ILLEGAL GIFTS~30,085,567~5~61~1855~https://www.youtube.com/watch?v=3DXyc0OLgRA88
Rotten egg CHALLENGE (Filthy Beans)~9,426,205~5~61~1855~https://www.youtube.com/watch?v=3DZFGf41vMuuo
BAD FRIENDS | Human Fall Flat (Funny Moments)~10,368,752~5~61~1855~https://www.youtube.com/watch?v=3DZbnDWD8x0bw
