title~views~uptime_y~uptime_m~uptime_d~link
XXXTENTACION - Snow (Official Audio)~740,085~0~3~81~https://www.youtube.com/watch?v=3DnKEv0f0NdYc
XXXTENTACION - Manikin (Official Audio)~379,812~0~3~81~https://www.youtube.com/watch?v=3DQeZUmuirlqM
XXXTENTACION - ILuvMyCliqueLikeKanyeWest (Official Audio)~254,056~0~3~81~https://www.youtube.com/watch?v=3D1skhhWnxZx4
Cooliecut &amp; Kin$oul - Red Pills (Love in the Matrix) (Audio)~1,123,875~4~50~1512~https://www.youtube.com/watch?v=3DwGp305kRaoc
XXXTENTACION, Bass Santana, Kin$oul, Kid Trunks &amp; Flyboy Tarantino - Hi Wendy! (Audio)~2,369,707~4~50~1512~https://www.youtube.com/watch?v=3DamSYUwwq3dM
Ratchet Roach, Bass Santana &amp; Robb Bank$ - Radar (Audio)~688,005~4~50~1512~https://www.youtube.com/watch?v=3DOsQK7hzQx74
Craig Xen - PROUD PUPPY LOVER! (Audio)~974,849~4~50~1512~https://www.youtube.com/watch?v=3D6TT18aIY-0o
Bass Santana, XXXTENTACION &amp; Ski Mask The Slump God - Make Eem Run! (Audio)~13,990,327~4~50~1512~https://www.youtube.com/watch?v=3DHlu8eaSKQbo
Bass Santana, Kin$oul, Robb Bank$, Bhris &amp; absentwill - You Are Not M.O. (Audio)~790,191~4~50~1512~https://www.youtube.com/watch?v=3D8JCsGkeG8dg
Bass Santana, Flyboy Tarantino, Kid Trunks &amp; Craig Xen - Jahseh on my Wrist (Audio)~1,078,258~4~50~1512~https://www.youtube.com/watch?v=3Df7Yo0DixsDk
Ski Mask The Slump God - He Diddy! (Audio)~2,266,345~4~50~1512~https://www.youtube.com/watch?v=3DH8N5pGUEwZw
XXXTENTACION, Bass Santana, Kin$oul &amp; Reddz - Touch Eem Body (Audio)~3,435,978~4~50~1512~https://www.youtube.com/watch?v=3Dqi3E40AoKQk
Killstation, Cooliecut &amp; Craig Xen - Cold Weather (Audio)~1,308,981~4~50~1512~https://www.youtube.com/watch?v=3DqNxoCudW_tE
Flyboy Tarantino, Craig Xen &amp; Kidway - Now or Never (Audio)~1,750,361~4~50~1512~https://www.youtube.com/watch?v=3DkFAFp8ZOy5g
Bass Santana, Cooliecut &amp; Kin$oul - Fall in Love with Death (Audio)~1,797,117~4~50~1512~https://www.youtube.com/watch?v=3DgFYbWDd7kvI
Corey - Corey's Intro (Audio)~4,713,879~4~50~1512~https://www.youtube.com/watch?v=3DkdDMnkv39Ok
Kid Trunks, Flyboy Tarantino &amp; Robb Bank$ - Plottin (Audio)~1,909,782~4~50~1512~https://www.youtube.com/watch?v=3DlIUpmbLw3Xo
Flyboy Tarantino &amp; Craig Xen - Love Hard, Fall Fast (Audio)~2,037,272~4~50~1512~https://www.youtube.com/watch?v=3D7eE-rxxpzeE
Cooliecut, Craig Xen &amp; Killstation - Nothing (Audio)~4,041,287~4~50~1512~https://www.youtube.com/watch?v=3DTnwi5unKojk
Tankhead &amp; Ikabod Veins - Pick Your Poison (Audio)~1,406,173~4~50~1512~https://www.youtube.com/watch?v=3D3ocr1x6UOW4
XXXTENTACION, Flyboy Tarantino, Kid Trunks, Bass Santana &amp; Kin$oul - Gassed Up! (Audio)~5,072,079~4~50~1512~https://www.youtube.com/watch?v=3D-bBLAfefwW0
XXXTENTACION - BAD! (Official Music Video)~184,534,556~4~50~1512~https://www.youtube.com/watch?v=3DgVqcUi9tpCw
XXXTENTACION - SKINS Album Release Party~3,170,856~4~50~1512~https://www.youtube.com/watch?v=3DtqPKqd36tN4
XXXTENTACION - Introduction (Audio)~6,321,619~4~50~1512~https://www.youtube.com/watch?v=3DpdPlHIz1YbY
XXXTENTACION - Guardian angel (Audio)~36,570,678~4~50~1512~https://www.youtube.com/watch?v=3Djrch8Pf_fJU
XXXTENTACION - One Minute (Audio) (feat. Kanye West)~17,532,830~4~50~1512~https://www.youtube.com/watch?v=3DfufJp37goJ0
XXXTENTACION - difference (interlude) (Audio)~9,194,065~4~50~1512~https://www.youtube.com/watch?v=3DgnRsZzZtgto
XXXTENTACION - whoa (mind in awe) (Audio)~111,904,397~4~50~1512~https://www.youtube.com/watch?v=3DGnF1S-WedwI
XXXTENTACION - what are you so afraid of (Audio)~29,809,770~4~50~1512~https://www.youtube.com/watch?v=3DGvBkVb2JxxY
XXXTENTACION - STARING AT THE SKY (Audio)~13,804,049~4~50~1512~https://www.youtube.com/watch?v=3DG6eTercINok
XXXTENTACION - I don=E2=80=99t let go (Audio)~38,506,478~4~50~1512~https://www.youtube.com/watch?v=3D0dSp35RO8nY
XXXTENTACION - Train food (Audio)~14,999,885~4~50~1512~https://www.youtube.com/watch?v=3D7LFm99guD2U
XXXTENTACION - BAD! (Audio)~138,325,735~4~50~1512~https://www.youtube.com/watch?v=3DP1t9T1TAOBI
Robb Bank$ - Bad Vibes Forever (Official Video)~7,780,426~4~50~1512~https://www.youtube.com/watch?v=3D6QBINHN3wbI
XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO)~1,103,996,097~5~62~1877~https://www.youtube.com/watch?v=3DGX8Hg6kWQYI
XXXTENTACION - SAD! (Official Music Video)~164,836,680~5~62~1877~https://www.youtube.com/watch?v=3DiAeYPfrXwk4
XXXTENTACION - SAD!~1,231,199,864~5~62~1877~https://www.youtube.com/watch?v=3DpgN-vvVVxMA
XXXTENTACION - changes~776,760,412~5~62~1877~https://www.youtube.com/watch?v=3Df0bbDFRYD_A
13 MINUTES OF HARD, RAUNCHY, SWEATY, GRINDING....~4,889,609~5~62~1877~https://www.youtube.com/watch?v=3D24DZuXBZxIo
ANOTHER CRAP QUALITY DEMONATIZABLE GAMING VIDEO! YAY! featuring @CRAIGXEN (WARNING, INNAPROPRIATE)~7,285,792~5~62~1877~https://www.youtube.com/watch?v=3DcWbyMc4B0Ns
#THEHELPINGHANDCHALLENGE~42,097,457~5~62~1877~https://www.youtube.com/watch?v=3DK3WWXyCtI7Y
THIS VIDEO IS PROBABLY GOING TO GET DEMONOTIZED!!!~14,198,794~5~62~1877~https://www.youtube.com/watch?v=3DEdOix4Yv0mo
XXXTENTACION - Look At Me! (Official Video)~99,484,045~6~74~2242~https://www.youtube.com/watch?v=3Dqku2WZ7aRYw
XXXTENTACION - The Explanation (Audio)~16,780,675~6~74~2242~https://www.youtube.com/watch?v=3D0m68rsj48X0
XXXTENTACION - Jocelyn Flores (Audio)~623,054,482~6~74~2242~https://www.youtube.com/watch?v=3DFAucVNRx_mU
XXXTENTACION - Depression &amp; Obsession (Audio)~58,165,361~6~74~2242~https://www.youtube.com/watch?v=3Dyas2vpTPWWY
XXXTENTACION - Revenge (Audio)~144,420,001~6~74~2242~https://www.youtube.com/watch?v=3DCD_tD26E7k0
XXXTENTACION - Everybody Dies In Their Nightmares (Audio)~352,376,057~6~74~2242~https://www.youtube.com/watch?v=3D7JGDWKJfgxQ
XXXTENTACION - Save Me (Audio)~146,551,980~6~74~2242~https://www.youtube.com/watch?v=3D-8xdDaRFdwc
XXXTENTACION - Dead Inside (Interlude) (Audio)~24,312,899~6~74~2242~https://www.youtube.com/watch?v=3Dn83f7_aTzgA
XXXTENTACION - Carry On (Audio)~114,622,732~6~74~2242~https://www.youtube.com/watch?v=3DEhTH8OIPoY4
XXXTENTACION - Orlando (Audio)~41,188,412~6~74~2242~https://www.youtube.com/watch?v=3DcnNfYsfyiMc
XXXTENTACION - Ayala (Outro) (Audio)~21,648,234~6~74~2242~https://www.youtube.com/watch?v=3DKbxlSQVWbDw
XXXTENTACION - Fuck Love (Audio) (feat. Trippie Redd)~390,564,281~6~74~2242~https://www.youtube.com/watch?v=3DJcWOSgImiRw
XXXTENTACION - Look At Me! (Audio)~598,663,755~6~74~2242~https://www.youtube.com/watch?v=3DwJGcwEv7838
XXXTENTACION - Revenge (Audio)~8,303,968~6~74~2242~https://www.youtube.com/watch?v=3DcWC3zWVWZiw
XXXTENTACION - I Don't Wanna Do This Anymore (Audio)~19,355,532~6~74~2242~https://www.youtube.com/watch?v=3DUZfsXqkw1jw
XXXTENTACION - King (Audio)~17,606,344~6~74~2242~https://www.youtube.com/watch?v=3DmHDf-kelWG4
XXXTENTACION - Slipknot (Audio) (feat. Kin$oul &amp; Killstation)~12,326,670~6~74~2242~https://www.youtube.com/watch?v=3Do4912p_-sPM
XXXTENTACION - YuNg BrAtZ (Audio)~38,221,224~6~74~2242~https://www.youtube.com/watch?v=3D1TFZl8oz6Es
XXXTENTACION - RIP Roach (Audio) (feat. $ki Mask The Slump God)~32,249,380~6~74~2242~https://www.youtube.com/watch?v=3DaFOxVm3Z9x8
XXXTENTACION - What in XXXTarnation (Audio) (feat. Ski Mask the Slump God)~22,653,647~6~74~2242~https://www.youtube.com/watch?v=3D7DjmTTshzMc
XXXTENTACION - Looking for a Star (Audio)~16,189,556~6~74~2242~https://www.youtube.com/watch?v=3DKB47nkHLMow
xxxtentacion - RARE pt 2~7,164,705~8~98~2973~https://www.youtube.com/watch?v=3DdR5IoJgM0dM
xxxtentacion - Teeth(interlude)~14,459,281~8~98~2973~https://www.youtube.com/watch?v=3DQgGuFZjFD6Y
xxxtentacion - skin~6,713,961~8~98~2973~https://www.youtube.com/watch?v=3DATayjnMV-24
xxxtentacion feat &quot;Ski Mask The Slump God&quot; - FUXK Prod Willie G~5,934,725~8~98~2973~https://www.youtube.com/watch?v=3DGHYfuuy5F4k
