title~views~uptime_y~uptime_m~uptime_d~link
I Don=E2=80=99t Give A - Lyric Video | Asees Kaur | Burrah |Aadar Malik |Goldie Sohel | Kumaar~58,484~0~6~182~https://www.youtube.com/watch?v=3Dv4RlFZOMU0s
Phone Mila Ke - Official Lyric Video | @raftaarmusic | AKASA ft. Aroosa Khan~583,944~0~6~182~https://www.youtube.com/watch?v=3DWhwhL8iscGA
Dev Theme - Film Version | Brahm=C4=81stra | Amitabh |Ranbir |Alia | Pritam |SlowCheeta~1,583,299~0~6~182~https://www.youtube.com/watch?v=3DJkEjEqoQWYw
Shiva Theme - Film Version | Brahm=C4=81stra | Amitabh | Ranbir Kapoor | Alia | Pritam~82,690~0~6~182~https://www.youtube.com/watch?v=3D0gJyJRzKBBI
Deva Deva - Film Version |Brahm=C4=81stra |Amitabh B|Ranbir |@aliabhatt |Pritam|Arijit~3,215,554~0~6~182~https://www.youtube.com/watch?v=3DPLIsDVqACZ0
Dard-E-Dil - @buildingpanther | Official Lyric Video | Panther | Ankee | Pallavi~29,428~0~6~182~https://www.youtube.com/watch?v=3DV3vsO9F4pIk
Humko To Yaari Se Matlab Hai - Suresh Wadkar | Shailendra Sigh | Andar Baahar~28,574~0~6~182~https://www.youtube.com/watch?v=3DLGtWLCMDWyE
Kaise Kehte Hain - Asha Bhosle | Anil Kapoor | Jackie Shroff | Andar Baahar~23,396~0~6~182~https://www.youtube.com/watch?v=3DsTqMp3jR7A8
Meri Ankhon Mein Zara Jhanko To - Asha Bhosle | Anil Kapoor | Jackie Shroff | Andar Baahar~19,586~0~6~182~https://www.youtube.com/watch?v=3DkLx_IBFJzIk
Mausam Bada Suhana Hai - Andar Baahar |Asha Bhosle |Shailendra S.|Jackie| Moon Moon Sen~10,831~0~6~182~https://www.youtube.com/watch?v=3Dvn6Nvps_pX4
Andar Baahar Baahar Andar - Anil Kapoor | Jackie Shroff | Andar Baahar~18,987~0~6~182~https://www.youtube.com/watch?v=3D2TmbOGmrBRg
Mujhe Mere Naam Se - Official Lyric Video | The Yellow Diary | Motivational Song 2022~19,616~0~6~182~https://www.youtube.com/watch?v=3DceeHAoPZ_ik
Kahe Baith Ho - Salma Agha | Penaz Masani | Bappi Lehri | Hasan Kamal~50,798~0~6~182~https://www.youtube.com/watch?v=3DsrHR8D_0cSg
Hasinon Ka Dastoor - Salma | Salma Agha | Bappi Lehri | Hasan Kamal~29,603~0~6~182~https://www.youtube.com/watch?v=3Do61jfSvd4cc
Zindagi Tere Dar Pe - Salma | Salma Agha | Bappi Lehri | Hasan Kamal~42,776~0~6~182~https://www.youtube.com/watch?v=3D8nEk7S9TLUs
Tarasti Hain Deedar Ko - Anwar | Salma Aagha | Bappi Lehri | Hasan Kamal~19,257~0~6~182~https://www.youtube.com/watch?v=3Der8YZNfx9zo
Shah-E-Madina - Salma | Salma Agha | Bappi Lehri | Hasan Kamal~29,811~0~6~182~https://www.youtube.com/watch?v=3DnKLvh32NYC4
Aie Mere Mehboob Meri Zindagi - Salma | Salma Agha | Shabbir Kumar | Bappi Lehri~19,446~0~6~182~https://www.youtube.com/watch?v=3DUghnDExHPrQ
Golibaaz - Official Lyric Video | @burrah, Jizzy, Chaarbis, Showkidd ft. Jizzy~24,683~0~7~212~https://www.youtube.com/watch?v=3DhUzyKurXIi0
Vikram Title Track - Film Version | Kamal Haasan, Vijay | Anirudh, Siddharth Mahadevan~278,091~0~7~212~https://www.youtube.com/watch?v=3Dggw87fNlk6Q
Ek Sher Ho Tum - EDM Version| Vikram| Kamal Haasan |Ritesh G Rao |Anirudh|Raqueeb Alam~91,057~0~7~212~https://www.youtube.com/watch?v=3DOibUyfhDSG4
Maaye Ni - Lyric | The Marigold Project | Asees Kaur | IP Singh | Snipr &amp; Meer~46,615~0~7~212~https://www.youtube.com/watch?v=3DNBGxxQ1FvVo
