title~views~since_upload~link
Justin Bieber - Lonely (with benny blanco) &amp; Holy (Live From The AMA=E2=80=99s / 2020)~13,475,246~2 years ago 5 minutes, 8 seconds~https://www.youtube.com/watch?v=3DfGhm3CoD_U8
Shawn Mendes, Justin Bieber - Monster (Lyric Video)~12,406,015~2 years ago 3 minutes, 1 second~https://www.youtube.com/watch?v=3DX1mSODr7BtM
Monster (Shawn Mendes &amp; Justin Bieber) - Official Teaser~1,678,328~2 years ago 14 seconds~https://www.youtube.com/watch?v=3Ded03rzSLigQ
Justin Bieber - Holy (Acoustic) ft. Chance The Rapper~13,194,612~2 years ago 3 minutes, 27 seconds~https://www.youtube.com/watch?v=3D5MP6v-N_FnU
Justin Bieber &amp; benny blanco - Lonely (Visualizer)~4,002,467~2 years ago 2 minutes, 32 seconds~https://www.youtube.com/watch?v=3DC8KUJ62mhro
Justin Bieber: Next Chapter | A Special Documentary Event (Official)~13,661,145~2 years ago 25 minutes~https://www.youtube.com/watch?v=3DRUcLuQ17UV8
Justin Bieber &amp; benny blanco - Lonely (Official Acoustic Video)~32,691,307~2 years ago 2 minutes, 37 seconds~https://www.youtube.com/watch?v=3DCu5hhxP_prE
Justin Bieber: Next Chapter | A Special Documentary Event =E2=80=93 Official Trailer~2,838,267~2 years ago 2 minutes, 6 seconds~https://www.youtube.com/watch?v=3DwuUJA2DYL2M
Justin Bieber &amp; benny blanco - Lonely (Montage)~719,550~2 years ago 2 minutes, 30 seconds~https://www.youtube.com/watch?v=3DZIAMjAvn6dE
Justin Bieber, benny blanco - The Making of 'Lonely' | Vevo Footnotes~1,291,220~2 years ago 2 minutes, 33 seconds~https://www.youtube.com/watch?v=3DmSKBwUPez-I
Justin Bieber - Holy (Live On Saturday Night Live / 2020) ft. Chance The Rapper~5,276,416~2 years ago 3 minutes, 51 seconds~https://www.youtube.com/watch?v=3DZAFgWhzvivM
Justin Bieber, benny blanco - Lonely (Live From Saturday Night Live/2020)~11,317,487~2 years ago 2 minutes, 44 seconds~https://www.youtube.com/watch?v=3DjlppEPjJQWs
Justin Bieber &amp; benny blanco - Lonely (Official Music Video)~167,550,736~2 years ago 2 minutes, 38 seconds~https://www.youtube.com/watch?v=3DxQOO2xGQ1Pc
Justin Bieber - Holy (VEVO Footnotes) ft. Chance The Rapper~2,073,793~3 years ago 5 minutes, 32 seconds~https://www.youtube.com/watch?v=3DbospUsfMHWU
Justin Bieber - Holy ft. Chance The Rapper (Genies version)~1,889,317~3 years ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3DGD_CcTKmGhw
Justin Bieber - Holy ft. Chance The Rapper (Choir Version)~966,464~3 years ago 3 minutes, 41 seconds~https://www.youtube.com/watch?v=3DxrtWTdxidSU
Justin Bieber - Holy ft. Chance The Rapper (Behind The Scenes)~1,119,671~3 years ago 10 minutes, 32 seconds~https://www.youtube.com/watch?v=3DQg1PZnWyvvU
Justin Bieber - Holy (Performance Version) ft. Chance The Rapper~23,288,625~3 years ago 3 minutes, 36 seconds~https://www.youtube.com/watch?v=3D0eDJ0Tla0ac
Justin Bieber - Holy ft. Chance the Rapper (Lyric Video)~40,174,363~3 years ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3Dqaq0nNXy0ak
Justin Bieber - Holy ft. Chance the Rapper (Visualizer)~2,287,679~3 years ago 3 minutes, 33 seconds~https://www.youtube.com/watch?v=3DSLuP3W1f1ls
Justin Bieber - Holy ft. Chance The Rapper~223,023,046~3 years ago 5 minutes, 29 seconds~https://www.youtube.com/watch?v=3DpvPsJFRGleA
Justin Bieber - E.T.A. (Nature Visual)~19,247,609~3 years ago 2 minutes, 56 seconds~https://www.youtube.com/watch?v=3DTiK7QtIHy_Y
Ariana Grande, Justin Bieber - Stuck with U (Mother's Day Edition)~23,127,800~3 years ago 4 minutes, 32 seconds~https://www.youtube.com/watch?v=3DnrJTtH3cw0o
Justin Bieber &amp; Ariana Grande  - Stuck with U (Prom Scenes)~4,296,388~3 years ago 3 minutes, 44 seconds~https://www.youtube.com/watch?v=3D16j_6JPr8m4
Ariana Grande, Justin Bieber - Stuck with U (Lyric Video)~195,280,892~3 years ago 3 minutes, 50 seconds~https://www.youtube.com/watch?v=3Dh2jvHynuMjI
Justin Bieber - Available (Nature Visual)~11,306,793~3 years ago 4 minutes, 18 seconds~https://www.youtube.com/watch?v=3DlpcOokegspU
Justin Bieber - Habitual (Nature Visual)~18,414,258~3 years ago 2 minutes, 54 seconds~https://www.youtube.com/watch?v=3DyKnt8dsFiO0
Justin Bieber, Summer Walker - Yummy (Summer Walker Remix / CHANGES: The Movement)~2,943,750~3 years ago 3 minutes, 49 seconds~https://www.youtube.com/watch?v=3DhUz4yCmwH74
Justin Bieber - At Least For Now (CHANGES: The Movement)~4,075,743~3 years ago 2 minutes, 53 seconds~https://www.youtube.com/watch?v=3DPcbrKsAcwn4
Justin Bieber - Changes (Nature Visual)~13,869,864~3 years ago 2 minutes, 19 seconds~https://www.youtube.com/watch?v=3DAUnypjWNa7Q
Justin Bieber - That's What Love Is (CHANGES: The Movement)~6,655,506~3 years ago 2 minutes, 51 seconds~https://www.youtube.com/watch?v=3D_uOnmHaDmMQ
Justin Bieber - Confirmation (CHANGES: The Movement)~8,010,179~3 years ago 3 minutes, 2 seconds~https://www.youtube.com/watch?v=3DBU25ROnZaKk
Justin Bieber - Changes (CHANGES: The Movement)~1,860,001~3 years ago 2 minutes, 50 seconds~https://www.youtube.com/watch?v=3DV7pOpYR5MxY
Justin Bieber - E.T.A. (CHANGES: The Movement)~4,553,565~3 years ago 3 minutes, 16 seconds~https://www.youtube.com/watch?v=3DTGXRFNEKVbI
Justin Bieber - Intentions (Acoustic)~6,077,957~3 years ago 2 minutes, 44 seconds~https://www.youtube.com/watch?v=3DiOHNnPEiKr4
Justin Bieber - Get Me (CHANGES: The Movement) ft. Kehlani~4,869,383~3 years ago 3 minutes, 35 seconds~https://www.youtube.com/watch?v=3D9uBQ53rM3WU
Justin Bieber - Available (CHANGES: The Movement)~5,642,883~3 years ago 4 minutes, 9 seconds~https://www.youtube.com/watch?v=3DP83pDFnoZnY
Justin Bieber - Second Emotion (CHANGES: The Movement) ft. Travis Scott~5,605,353~3 years ago 3 minutes, 30 seconds~https://www.youtube.com/watch?v=3DYvVDPNOScAw
Justin Bieber - Running Over (CHANGES: The Movement) ft. Lil Dicky~7,848,256~3 years ago 3 minutes, 8 seconds~https://www.youtube.com/watch?v=3DRlLMhdLO1tg
Justin Bieber - Take It Out On Me (CHANGES: The Movement)~4,308,408~3 years ago 3 minutes, 21 seconds~https://www.youtube.com/watch?v=3DWcEs_I1uBb0
Justin Bieber - Forever (CHANGES: The Movement) ft. Post Malone, Clever~18,707,984~3 years ago 3 minutes, 46 seconds~https://www.youtube.com/watch?v=3D9ckCTsyDRok
Justin Bieber - Intentions (Live From The Ellen DeGeneres Show / 2020) ft. Quavo~9,772,300~3 years ago 4 minutes, 28 seconds~https://www.youtube.com/watch?v=3D-bqC2H8100c
Intentions (Live On The Tonight Show Starring Jimmy Fallon / 2020)~23,424,330~3 years ago 4 minutes, 2 seconds~https://www.youtube.com/watch?v=3D0TdSMhRfqO0
Justin Bieber - Come Around Me (CHANGES: The Movement)~22,596,068~3 years ago 3 minutes, 47 seconds~https://www.youtube.com/watch?v=3DGtDwH6fPRMA
Justin Bieber - Habitual (CHANGES: The Movement)~5,410,906~3 years ago 3 minutes, 1 second~https://www.youtube.com/watch?v=3DlCXUMvg_y1U
