title~views~since_upload~link
Worst Dude Perfect Videos of All Time | OT 23~37,489,509~2 years ago 30 minutes~https://www.youtube.com/watch?v=3D1SIX0HTH-50
Gingerbread House Scandal | OT 22~30,224,695~2 years ago 24 minutes~https://www.youtube.com/watch?v=3DLP02BulYw3g
Pocket Flame Thrower | OT 21~33,986,477~2 years ago 25 minutes~https://www.youtube.com/watch?v=3D9X_nbT89X-c
It Finally Happened | OT 20~27,141,327~2 years ago 26 minutes~https://www.youtube.com/watch?v=3DETnepJ1zgKQ
Dude Perfect Corn Maze | Nerf Battle~16,235,797~2 years ago 5 minutes, 43 seconds~https://www.youtube.com/watch?v=3DJaAm-0BBbmw
Go Kart Paintball Battle~21,454,095~2 years ago 14 minutes, 19 seconds~https://www.youtube.com/watch?v=3DxBe-36v3lQo
Halloween Stereotypes~53,713,154~2 years ago 10 minutes, 47 seconds~https://www.youtube.com/watch?v=3DmfTnowfhW2c
GIANT Pumpkin Carving Contest | OT 19~34,402,573~2 years ago 25 minutes~https://www.youtube.com/watch?v=3D4CqwkiaXEOQ
Giant Grouper Fishing Battle~21,687,414~3 years ago 10 minutes, 47 seconds~https://www.youtube.com/watch?v=3Ddycv5jdhx88
WORST PUNISHMENT YET | OT 18~46,461,752~3 years ago 28 minutes~https://www.youtube.com/watch?v=3D6NMvQU9xNbo
Concrete Shoes Football Battle~23,199,994~3 years ago 7 minutes, 50 seconds~https://www.youtube.com/watch?v=3DOFBsuEGhQkI
Airsoft Battle Royale 3~21,951,107~3 years ago 10 minutes, 53 seconds~https://www.youtube.com/watch?v=3DAV3P55Xu_Ow
Real Life Robot Dog | OT 17~42,676,235~3 years ago 28 minutes~https://www.youtube.com/watch?v=3Dn4fXmZTVdZg
Swimming Pool Stereotypes~72,401,185~3 years ago 8 minutes, 21 seconds~https://www.youtube.com/watch?v=3DMqePxS6iyvA
Impossible Ping Pong Trick Shots~32,986,213~3 years ago 6 minutes, 59 seconds~https://www.youtube.com/watch?v=3D0ADQauuOJto
Card Throwing Trick Shots 2~27,197,945~3 years ago 5 minutes, 19 seconds~https://www.youtube.com/watch?v=3Ddudw5JiklKc
Farthest Throw from Giant Tower Wins~35,796,323~3 years ago 6 minutes, 47 seconds~https://www.youtube.com/watch?v=3D5-3ouosW9IA
Unpredictable Trick Shots | Dude Perfect~60,583,654~3 years ago 4 minutes, 51 seconds~https://www.youtube.com/watch?v=3DaCz-1tcdjN8
All Sports Golf Battle 4~42,090,993~3 years ago 13 minutes, 47 seconds~https://www.youtube.com/watch?v=3DluR70V5gdS0
Worst Haircut Ever | OT 16~39,193,443~3 years ago 24 minutes~https://www.youtube.com/watch?v=3DBKKr55WPrrM
Dude Perfect: Backstage Pass | Official Documentary~50,832,417~3 years ago 1 hour, 24 minutes~https://www.youtube.com/watch?v=3DlbK24iwrYbY
Quarantine Stereotypes~70,415,308~3 years ago 8 minutes, 41 seconds~https://www.youtube.com/watch?v=3DeZUKSxE2UZg
Eating Dog Food Like Cereal =F0=9F=A4=A2 | OT 15~24,069,608~3 years ago 21 minutes~https://www.youtube.com/watch?v=3DBYQAFbq2mxE
Blindfolded Archery Battle~21,589,112~3 years ago 7 minutes, 18 seconds~https://www.youtube.com/watch?v=3DYYBqfzDPOWU
Giant Foam Pit | Dude Perfect~29,098,236~3 years ago 7 minutes, 58 seconds~https://www.youtube.com/watch?v=3DaV0BK3QCk0g
Top 10 Candy List EVER | OT 14~48,383,656~3 years ago 26 minutes~https://www.youtube.com/watch?v=3DxG61CapseLU
Airsoft Battle Royale 2~55,511,740~3 years ago 13 minutes, 34 seconds~https://www.youtube.com/watch?v=3Dv_BgzDHGav0
Water Bottle Flip 3 | Dude Perfect~49,004,453~3 years ago 5 minutes, 12 seconds~https://www.youtube.com/watch?v=3DhfzSedylBog
Lightsaber Accident | OT 13~48,292,310~3 years ago 27 minutes~https://www.youtube.com/watch?v=3D4MMdJHYHoiA
Aircraft Carrier Bucket List~57,192,105~3 years ago 20 minutes~https://www.youtube.com/watch?v=3DgqdwyXC4Jwk
Hockey Trick Shots~17,644,089~3 years ago 9 minutes, 24 seconds~https://www.youtube.com/watch?v=3DItMpKIxXwlw
Best of Dude Perfect | 2019~9,136,673~3 years ago 6 minutes, 8 seconds~https://www.youtube.com/watch?v=3DGSTyIwVqO6Q
All Sports Bowling Battle~32,350,918~3 years ago 13 minutes, 5 seconds~https://www.youtube.com/watch?v=3DXYX-IZa3rNs
Nerf Trick Shots~28,580,106~3 years ago 4 minutes, 3 seconds~https://www.youtube.com/watch?v=3DIw8qP0GdZ_0
GIANT Waterslide Battle~45,466,478~3 years ago 7 minutes, 49 seconds~https://www.youtube.com/watch?v=3D3C0btIJjrW8
We Broke The Budget | OT 12~63,990,413~3 years ago 23 minutes~https://www.youtube.com/watch?v=3DO5Sduwj9G98
Unexpected Trick Shots~51,572,745~3 years ago 4 minutes, 52 seconds~https://www.youtube.com/watch?v=3D4xGFo_lYUrs
All Sports Trick Shots | Dude Perfect~28,606,212~4 years ago 6 minutes, 48 seconds~https://www.youtube.com/watch?v=3DbIDKhZ_4jLQ
Camping Stereotypes~61,115,881~4 years ago 7 minutes, 59 seconds~https://www.youtube.com/watch?v=3DaDrVrz76z1A
Helicopter Battleship Battle | Dude Perfect~20,175,610~4 years ago 10 minutes, 14 seconds~https://www.youtube.com/watch?v=3Dj7ZXF7jbXbY
World's Weirdest Pillow | OT 11~42,597,060~4 years ago 20 minutes~https://www.youtube.com/watch?v=3Dj9I7jt4Y_-A
Editor Edition 2 | Dude Perfect~17,852,086~4 years ago 8 minutes, 6 seconds~https://www.youtube.com/watch?v=3DJvy7eXMxE9Y
Bass Fishing Battle | Dude Perfect~47,694,726~4 years ago 8 minutes, 56 seconds~https://www.youtube.com/watch?v=3D2lrBphwQOrI
RC Airplane Battle | Dude Perfect~44,422,290~4 years ago 8 minutes, 34 seconds~https://www.youtube.com/watch?v=3DXMilHdBYZzA
World's Best Gaming Room | OT 10~48,431,787~4 years ago 22 minutes~https://www.youtube.com/watch?v=3D8qwjvDROE4E
Metal Detector Battle 2 | Dude Perfect~65,888,557~4 years ago 10 minutes, 58 seconds~https://www.youtube.com/watch?v=3Dq9bX7EkMvrA
Plunger Trick Shots | Dude Perfect~60,522,993~4 years ago 5 minutes, 13 seconds~https://www.youtube.com/watch?v=3DFjPvXMwTwQo
Laying in a Box of Snakes | OT 9~42,181,150~4 years ago 24 minutes~https://www.youtube.com/watch?v=3DFPg89qonG0E
Ping Pong Trick Shots 5 | Dude Perfect~67,058,381~4 years ago 6 minutes, 41 seconds~https://www.youtube.com/watch?v=3D2t3GnbhbVCc
All Sports Baseball Battle | Dude Perfect~60,662,337~4 years ago 11 minutes, 57 seconds~https://www.youtube.com/watch?v=3DdwV04XuiWq4
Nerf Fortnite Blasters Battle | Dude Perfect~49,172,796~4 years ago 13 minutes, 20 seconds~https://www.youtube.com/watch?v=3D_YTWwTo6xcY
Real Life Trick Shots Bloopers | OT 8~56,636,831~4 years ago 19 minutes~https://www.youtube.com/watch?v=3DuUio9YoGhxo
Airplane Trick Shots 2 | Dude Perfect~67,751,214~4 years ago 6 minutes, 52 seconds~https://www.youtube.com/watch?v=3DOxoOSohmaag
Real Life Trick Shots 3 | Dude Perfect~131,606,795~4 years ago 3 minutes, 20 seconds~https://www.youtube.com/watch?v=3DqlzVPauUgw8
